sample_id,input_reads,filtered_reads,pct_passed_filter,denoised_reads,merged_reads,pct_merged,non_chimeric_reads,pct_non_chimeric,pct_filtered_that_merged,pct_merged_that_non_chimeric,num_ASVs
ERR1873185,130154,99666,76.58,93730,67354,51.75,45233,34.75,67.58,67.16,840
ERR1873186,78022,60516,77.56,55656,37504,48.07,27836,35.68,61.97,74.22,416
ERR1873188,78755,59602,75.68,54279,35323,44.85,28225,35.84,59.26,79.91,372
ERR1873189,54735,35628,65.09,31201,16963,30.99,14666,26.79,47.61,86.46,128
ERR1873190,103976,77340,74.38,72444,53360,51.32,37310,35.88,68.99,69.92,536
ERR1873191,42999,30536,71.02,26963,16765,38.99,12465,28.99,54.9,74.35,149
ERR1873192,17691,13386,75.67,10810,5727,32.37,5601,31.66,42.78,97.8,60
ERR1873193,138850,102030,73.48,93882,62536,45.04,50004,36.01,61.29,79.96,816
ERR1873194,96676,63662,65.85,58211,38292,39.61,30674,31.73,60.15,80.11,380
ERR1873195,142219,112690,79.24,103414,77239,54.31,53993,37.96,68.54,69.9,792
ERR1873196,231008,174474,75.53,157484,99705,43.16,69285,29.99,57.15,69.49,966
ERR1873197,137515,110167,80.11,100212,67767,49.28,50984,37.08,61.51,75.23,873
ERR1873198,137117,102699,74.9,90789,47487,34.63,39656,28.92,46.24,83.51,566
ERR1873199,150040,116845,77.88,103964,66603,44.39,51428,34.28,57.0,77.22,803
ERR1873201,98381,74841,76.07,67933,44564,45.3,34387,34.95,59.54,77.16,588
ERR1873202,107673,83260,77.33,74130,46336,43.03,38932,36.16,55.65,84.02,609
ERR1873203,161414,126852,78.59,113654,66692,41.32,55256,34.23,52.57,82.85,764
ERR1873204,157637,115797,73.46,106637,75395,47.83,53112,33.69,65.11,70.44,877
ERR1873205,225732,170545,75.55,159935,124198,55.02,69545,30.81,72.82,56.0,1387
ERR1873206,175412,145527,82.96,137594,113225,64.55,60450,34.46,77.8,53.39,1468
ERR1873207,118776,85203,71.73,73231,44276,37.28,32828,27.64,51.97,74.14,493
ERR1873208,162599,128916,79.28,112433,72456,44.56,52756,32.45,56.2,72.81,868
ERR1873209,227549,176601,77.61,158856,99483,43.72,67833,29.81,56.33,68.19,1281
ERR1873210,95463,66405,69.56,52913,30665,32.12,21097,22.1,46.18,68.8,216
ERR1873211,64164,50267,78.34,40783,22242,34.66,18928,29.5,44.25,85.1,312
ERR1873212,97726,76834,78.62,65332,37659,38.54,30251,30.95,49.01,80.33,376
ERR1873213,108132,82367,76.17,68539,31695,29.31,29151,26.96,38.48,91.97,328
ERR1873214,83927,60652,72.27,52099,28618,34.1,24283,28.93,47.18,84.85,267
ERR1873215,129361,96373,74.5,85526,51914,40.13,43366,33.52,53.87,83.53,632
ERR1873216,31652,23135,73.09,19380,11159,35.26,9273,29.3,48.23,83.1,107
ERR1873217,64178,49761,77.54,39503,15568,24.26,14079,21.94,31.29,90.44,183
ERR1873218,75009,57252,76.33,50413,28707,38.27,22622,30.16,50.14,78.8,332
ERR1873219,88608,68511,77.32,57850,30412,34.32,24123,27.22,44.39,79.32,327
ERR1873220,109483,86538,79.04,73999,43983,40.17,34062,31.11,50.83,77.44,552
ERR1873221,139041,94095,67.67,84410,52854,38.01,43491,31.28,56.17,82.29,598
ERR1873222,136622,102603,75.1,88410,46955,34.37,40474,29.62,45.76,86.2,514
ERR1873223,119334,86026,72.09,75909,47198,39.55,37307,31.26,54.86,79.04,571
ERR1873224,88604,69982,78.98,57369,28871,32.58,24922,28.13,41.25,86.32,356
ERR1873225,68231,53313,78.14,49070,33849,49.61,23932,35.07,63.49,70.7,459
ERR1873226,147620,115503,78.24,96183,51451,34.85,45091,30.55,44.55,87.64,623
ERR1873227,23615,18353,77.72,15449,9057,38.35,7102,30.07,49.35,78.41,116
ERR1873228,78308,57410,73.31,51887,35954,45.91,25863,33.03,62.63,71.93,454
ERR1873229,44835,31828,70.99,26155,15643,34.89,13479,30.06,49.15,86.17,178
ERR1873230,50310,34953,69.48,31047,22070,43.87,16417,32.63,63.14,74.39,251
ERR1873231,77158,60105,77.9,52856,35371,45.84,27807,36.04,58.85,78.62,386
ERR1873232,131360,100995,76.88,90959,63074,48.02,41696,31.74,62.45,66.11,801
ERR1873233,112846,90600,80.29,86056,70660,62.62,40797,36.15,77.99,57.74,950
ERR1873234,188521,140551,74.55,127381,88804,47.11,62797,33.31,63.18,70.71,1025
ERR1873235,171008,130199,76.14,111238,68214,39.89,52272,30.57,52.39,76.63,667
ERR1873236,170648,135744,79.55,123976,79591,46.64,60785,35.62,58.63,76.37,1059
ERR1873237,156670,123272,78.68,105302,64604,41.24,49119,31.35,52.41,76.03,692
ERR1873239,146716,101878,69.44,84969,46797,31.9,41640,28.38,45.93,88.98,468
ERR1873240,160940,125478,77.97,108494,62531,38.85,51285,31.87,49.83,82.02,690
ERR1873241,115470,89494,77.5,74842,34854,30.18,29384,25.45,38.95,84.31,352
ERR1873242,182392,133094,72.97,112894,62544,34.29,53384,29.27,46.99,85.35,614
ERR1873243,111647,78020,69.88,65483,35064,31.41,32345,28.97,44.94,92.25,371
ERR1873244,229853,170254,74.07,147225,86667,37.71,70044,30.47,50.9,80.82,895
ERR1873245,225449,162272,71.98,138092,77774,34.5,65060,28.86,47.93,83.65,873
ERR1873246,162326,120675,74.34,104963,63302,39.0,44092,27.16,52.46,69.65,544
ERR1873247,169580,133350,78.64,117763,66205,39.04,56274,33.18,49.65,85.0,755
ERR1873248,148702,118305,79.56,111034,82432,55.43,58677,39.46,69.68,71.18,894
ERR1873249,104209,69150,66.36,60673,38953,37.38,34086,32.71,56.33,87.51,332
ERR1873250,97106,76791,79.08,69440,44596,45.93,35349,36.4,58.07,79.26,484
ERR1873251,2,1,50.0,1,1,50.0,1,50.0,100.0,100.0,1
ERR1873252,167067,132689,79.42,117901,73162,43.79,53738,32.17,55.14,73.45,787
ERR1873253,174524,131810,75.53,112268,66367,38.03,50022,28.66,50.35,75.37,574
ERR1873254,163341,130689,80.01,113263,65995,40.4,52879,32.37,50.5,80.13,777
ERR1873255,156993,122279,77.89,101337,57714,36.76,43093,27.45,47.2,74.67,511
ERR1873256,88318,67526,76.46,59543,37633,42.61,28222,31.95,55.73,74.99,373
ERR1873257,151696,117441,77.42,103976,63491,41.85,47474,31.3,54.06,74.77,688
ERR1873258,140592,115479,82.14,98974,56109,39.91,48686,34.63,48.59,86.77,715
ERR1873259,112754,78024,69.2,67371,43215,38.33,32657,28.96,55.39,75.57,474
ERR1873260,177052,135124,76.32,119299,78193,44.16,66271,37.43,57.87,84.75,916
ERR1873261,40302,26523,65.81,23362,14279,35.43,10647,26.42,53.84,74.56,125
ERR1873262,129093,91268,70.7,83298,56382,43.68,43033,33.33,61.78,76.32,571
ERR1873263,118619,87581,73.83,75683,41179,34.72,32264,27.2,47.02,78.35,416
ERR1873264,121273,90518,74.64,82900,56733,46.78,42783,35.28,62.68,75.41,743
ERR1873265,273354,209800,76.75,195070,146621,53.64,87241,31.92,69.89,59.5,1601
ERR1873266,11212,8191,73.06,6169,3135,27.96,3131,27.93,38.27,99.87,44
ERR1873267,478034,362824,75.9,338631,260711,54.54,166157,34.76,71.86,63.73,2835
ERR1873268,89159,65895,73.91,59922,40462,45.38,30651,34.38,61.4,75.75,532
ERR1873269,130332,89636,68.78,76148,46121,35.39,36668,28.13,51.45,79.5,410
ERR1873270,188007,149697,79.62,136929,97340,51.77,59465,31.63,65.02,61.09,1191
ERR1873271,271774,215334,79.23,200025,148908,54.79,89084,32.78,69.15,59.82,1781
ERR1873272,206728,159269,77.04,149580,120436,58.26,76473,36.99,75.62,63.5,1459
ERR1873273,128155,102408,79.91,89607,53518,41.76,40320,31.46,52.26,75.34,631
ERR1873274,38379,30264,78.86,26369,15848,41.29,13648,35.56,52.37,86.12,177
ERR1873275,91516,71300,77.91,65483,46974,51.33,31205,34.1,65.88,66.43,676
ERR1873276,134643,107313,79.7,89508,46772,34.74,42012,31.2,43.58,89.82,529
ERR1873277,136769,109537,80.09,101141,72841,53.26,48590,35.53,66.5,66.71,895
ERR1873278,173818,132468,76.21,121723,85195,49.01,64016,36.83,64.31,75.14,1213
ERR1873279,134949,112130,83.09,97309,57144,42.34,47143,34.93,50.96,82.5,726
ERR1873280,237245,185355,78.13,161451,98206,41.39,77059,32.48,52.98,78.47,1000
ERR1873281,84982,60975,71.75,53789,31491,37.06,26885,31.64,51.65,85.37,376
ERR1873282,123875,95629,77.2,89828,71358,57.6,44057,35.57,74.62,61.74,974
ERR1873283,150177,120351,80.14,103771,61442,40.91,51395,34.22,51.05,83.65,789
ERR1873284,135534,107512,79.32,93873,50815,37.49,43932,32.41,47.26,86.45,630
ERR1873285,76898,59632,77.55,49279,24242,31.52,21569,28.05,40.65,88.97,261
ERR1873286,284458,219664,77.22,205709,153436,53.94,94261,33.14,69.85,61.43,1842
ERR1873287,112983,91997,81.43,82914,55715,49.31,43155,38.2,60.56,77.46,828
ERR1873288,58469,41597,71.14,30234,12938,22.13,12517,21.41,31.1,96.75,132
ERR1873289,114395,90318,78.95,80458,50060,43.76,41906,36.63,55.43,83.71,623
ERR1873290,66335,48657,73.35,43775,30208,45.54,20637,31.11,62.08,68.32,304
ERR1873291,113388,86727,76.49,75069,46132,40.69,37421,33.0,53.19,81.12,577
ERR1873292,71526,53100,74.24,45768,26979,37.72,19640,27.46,50.81,72.8,361
ERR1873293,131258,96787,73.74,85222,50226,38.27,41143,31.35,51.89,81.92,573
ERR1873294,161218,122890,76.23,107276,61191,37.96,51587,32.0,49.79,84.3,733
ERR1873295,152609,119789,78.49,110756,80794,52.94,47891,31.38,67.45,59.28,993
ERR1873296,167508,136924,81.74,121855,81049,48.39,59657,35.61,59.19,73.61,1110
ERR1873297,192329,147261,76.57,128371,75219,39.11,59468,30.92,51.08,79.06,1056
ERR1873298,81549,59971,73.54,55210,40984,50.26,30343,37.21,68.34,74.04,592
ERR1873299,66374,45288,68.23,37693,19108,28.79,17936,27.02,42.19,93.87,179
ERR1873300,16882,12372,73.29,10316,6386,37.83,5276,31.25,51.62,82.62,54
ERR1873301,162979,128466,78.82,113655,71559,43.91,54940,33.71,55.7,76.78,838
ERR1873302,141463,110446,78.07,98560,60488,42.76,46085,32.58,54.77,76.19,798
ERR1873303,97404,76148,78.18,67498,39116,40.16,31114,31.94,51.37,79.54,519
ERR1873304,111198,87155,78.38,79893,56450,50.77,39049,35.12,64.77,69.17,732
ERR1873305,302353,241315,79.81,211208,137353,45.43,97122,32.12,56.92,70.71,1422
ERR1873306,205840,160797,78.12,139636,86125,41.84,66674,32.39,53.56,77.42,969
ERR1873307,155601,123475,79.35,108183,62824,40.38,51976,33.4,50.88,82.73,703
ERR1873308,155030,123830,79.87,107246,62339,40.21,49804,32.13,50.34,79.89,691
ERR1873309,56658,37484,66.16,28467,14272,25.19,13430,23.7,38.07,94.1,132
ERR1873310,132753,95099,71.64,84124,55191,41.57,38683,29.14,58.04,70.09,610
ERR1873311,154775,120223,77.68,102845,58371,37.71,44711,28.89,48.55,76.6,665
ERR1873312,171593,136018,79.27,122272,78684,45.86,57877,33.73,57.85,73.56,934
ERR1873313,53488,39565,73.97,35014,23081,43.15,18077,33.8,58.34,78.32,324
ERR1873314,211025,162743,77.12,147958,98771,46.81,64898,30.75,60.69,65.71,1132
ERR1873315,173028,146431,84.63,131780,82823,47.87,60268,34.83,56.56,72.77,1263
ERR1873316,152990,123009,80.4,105347,59809,39.09,48527,31.72,48.62,81.14,656
ERR1873317,102633,82643,80.52,67145,33413,32.56,29710,28.95,40.43,88.92,369
ERR1873318,123644,97821,79.12,84186,44993,36.39,38569,31.19,46.0,85.72,575
ERR1873319,90346,71175,78.78,59993,32856,36.37,29070,32.18,46.16,88.48,416
ERR1873320,88369,68628,77.66,62455,42508,48.1,32640,36.94,61.94,76.79,498
ERR1873321,62882,51508,81.91,48281,36431,57.94,24410,38.82,70.73,67.0,568
ERR1873322,160088,129325,80.78,111816,72094,45.03,52679,32.91,55.75,73.07,888
ERR1873323,103649,80483,77.65,73446,50611,48.83,33397,32.22,62.88,65.99,614
ERR1873324,110722,87117,78.68,81291,61933,55.94,36806,33.24,71.09,59.43,980
ERR1873325,106641,83072,77.9,71918,40889,38.34,34282,32.15,49.22,83.84,554
ERR1873326,121390,94797,78.09,89129,69025,56.86,45332,37.34,72.81,65.67,863
ERR1873327,86451,70383,81.41,58812,32452,37.54,26459,30.61,46.11,81.53,324
ERR1873328,101525,78647,77.47,60628,35334,34.8,28705,28.27,44.93,81.24,269
ERR1873329,147944,120446,81.41,104255,62653,42.35,45639,30.85,52.02,72.84,746
ERR1873330,171638,138746,80.84,121500,78604,45.8,58090,33.84,56.65,73.9,906
ERR1873331,195652,150651,77.0,130475,85283,43.59,67507,34.5,56.61,79.16,976
ERR1873332,110264,84165,76.33,79347,63664,57.74,35969,32.62,75.64,56.5,705
ERR1873333,88171,71795,81.43,58385,32122,36.43,27864,31.6,44.74,86.74,377
ERR1873334,114850,94194,82.01,80569,50275,43.77,40754,35.48,53.37,81.06,643
ERR1873335,57591,42931,74.54,38405,25966,45.09,20173,35.03,60.48,77.69,283
ERR1873336,155754,118101,75.83,105532,69171,44.41,53307,34.23,58.57,77.07,779
ERR1873337,85602,65133,76.09,60335,45677,53.36,25668,29.99,70.13,56.19,470
ERR1873338,196413,146973,74.83,138644,110062,56.04,62768,31.96,74.89,57.03,1275
ERR1873339,163108,125278,76.81,116961,90559,55.52,51564,31.61,72.29,56.94,1022
ERR1873340,77784,62646,80.54,55837,37289,47.94,27069,34.8,59.52,72.59,483
ERR1873341,54964,39369,71.63,35465,24315,44.24,18493,33.65,61.76,76.06,290
ERR1873342,162475,113538,69.88,95263,59971,36.91,44772,27.56,52.82,74.66,440
ERR1873343,137589,101735,73.94,88156,52264,37.99,45710,33.22,51.37,87.46,529
ERR1873344,141810,106409,75.04,91253,53759,37.91,39305,27.72,50.52,73.11,576
ERR1873345,147936,110579,74.75,93004,51628,34.9,41067,27.76,46.69,79.54,527
ERR1873346,165612,130076,78.54,111046,69667,42.07,58735,35.47,53.56,84.31,770
ERR1873347,172303,139326,80.86,121261,78402,45.5,63126,36.64,56.27,80.52,999
ERR1873348,226261,183699,81.19,163703,110786,48.96,78357,34.63,60.31,70.73,1196
ERR1873349,230124,190480,82.77,170262,115293,50.1,84026,36.51,60.53,72.88,1416
ERR1873350,344142,264156,76.76,233437,142971,41.54,110189,32.02,54.12,77.07,1646
ERR1873351,179169,143672,80.19,125082,75375,42.07,58009,32.38,52.46,76.96,832
ERR1873352,191910,152623,79.53,133173,82760,43.12,62547,32.59,54.23,75.58,1009
ERR1873353,154731,121314,78.4,107518,68980,44.58,53164,34.36,56.86,77.07,959
ERR1873354,180214,146850,81.49,134802,96433,53.51,67802,37.62,65.67,70.31,1189
ERR1873355,212384,170917,80.48,149957,96615,45.49,76341,35.94,56.53,79.02,1070
ERR1873356,185844,149096,80.23,128245,71132,38.28,55720,29.98,47.71,78.33,770
ERR1873357,105364,81884,77.72,65698,31269,29.68,24425,23.18,38.19,78.11,297
ERR1873358,160222,125127,78.1,110349,64958,40.54,52907,33.02,51.91,81.45,882
ERR1873359,125513,101653,80.99,86320,53029,42.25,46808,37.29,52.17,88.27,588
ERR1873360,192694,157571,81.77,129099,71694,37.21,64281,33.36,45.5,89.66,680
ERR1873361,175104,142390,81.32,126520,79847,45.6,62863,35.9,56.08,78.73,952
