threshold_min_samples,lineages_remaining,pct_lineages_remaining,pct_counts_remaining,selected_threshold
1,621,100.0,100.0,
2,452,72.79,99.85,
3,382,61.51,99.69,
4,335,53.95,99.51,
5,309,49.76,99.38,
6,285,45.89,99.17,
7,266,42.83,99.01,
8,253,40.74,98.92,
9,244,39.29,98.83,
10,227,36.55,98.63,
11,223,35.91,98.6,
12,212,34.14,98.41,
13,203,32.69,98.26,
14,199,32.05,98.18,
15,193,31.08,98.05,
16,187,30.11,97.95,
17,182,29.31,97.83,
18,178,28.66,97.74,
19,172,27.7,97.58,
20,169,27.21,97.52,YES
21,165,26.57,97.4,
22,158,25.44,97.16,
23,150,24.15,96.91,
24,145,23.35,96.7,
25,142,22.87,96.55,
26,138,22.22,96.35,
27,136,21.9,96.26,
28,133,21.42,96.06,
29,130,20.93,95.95,
30,125,20.13,95.71,
31,123,19.81,95.66,
32,122,19.65,95.63,
33,121,19.48,95.58,
34,117,18.84,95.19,
35,116,18.68,95.15,
36,112,18.04,94.9,
37,111,17.87,94.84,
38,110,17.71,94.82,
39,109,17.55,94.76,
40,105,16.91,94.47,
41,103,16.59,94.32,
42,99,15.94,93.91,
43,96,15.46,93.71,
44,94,15.14,93.6,
45,91,14.65,93.33,
46,89,14.33,93.12,
47,87,14.01,92.92,
48,86,13.85,92.86,
49,85,13.69,92.8,
50,81,13.04,92.3,
