threshold_min_samples,lineages_remaining,pct_lineages_remaining,pct_counts_remaining,pct_matrix_remaining,selected_threshold
1,2057,81.85,,100.0,
2,1922,76.48,,100.0,
3,1839,73.18,,99.99,
4,1765,70.23,,99.96,
5,1680,66.85,,99.83,
6,1638,65.18,,99.8,
7,1595,63.47,,99.77,
8,1559,62.04,,99.75,
9,1524,60.64,,99.74,
10,1484,59.05,,99.72,
11,1459,58.06,,99.7,
12,1422,56.59,,99.61,
13,1399,55.67,,99.59,
14,1382,54.99,,99.58,
15,1348,53.64,,99.46,
16,1324,52.69,,99.42,
17,1314,52.29,,99.4,
18,1297,51.61,,99.39,
19,1277,50.82,,99.39,
20,1260,50.14,,99.37,
21,1243,49.46,,99.36,
22,1225,48.75,,99.35,
23,1211,48.19,,99.33,
24,1201,47.79,,99.32,
25,1190,47.35,,99.32,
26,1174,46.72,,99.27,
27,1161,46.2,,99.26,
28,1151,45.8,,99.24,
29,1132,45.05,,99.23,
30,1118,44.49,,99.22,
31,1113,44.29,,99.21,
32,1101,43.81,,99.2,
33,1093,43.49,,99.19,
34,1084,43.14,,99.18,
35,1075,42.78,,99.16,
36,1066,42.42,,99.13,
37,1054,41.94,,99.08,
38,1045,41.58,,99.04,
39,1036,41.23,,99.03,
40,1030,40.99,,98.99,
41,1021,40.63,,98.88,
42,1012,40.27,,98.86,
43,1005,39.99,,98.85,
44,1002,39.87,,98.83,
45,992,39.47,,98.81,
46,985,39.2,,98.75,
47,979,38.96,,98.74,
48,973,38.72,,98.74,
49,972,38.68,,98.73,
50,966,38.44,,98.71,YES
51,955,38.0,,98.69,
52,948,37.72,,98.68,
53,948,37.72,,98.68,
54,942,37.49,,98.63,
55,936,37.25,,98.51,
56,929,36.97,,98.48,
57,922,36.69,,98.47,
58,913,36.33,,98.46,
59,907,36.09,,98.36,
60,903,35.93,,98.24,
61,894,35.58,,98.18,
62,886,35.26,,98.16,
63,879,34.98,,98.14,
64,875,34.82,,98.12,
65,870,34.62,,98.11,
66,863,34.34,,98.06,
67,858,34.14,,97.97,
68,851,33.86,,97.85,
69,849,33.78,,97.84,
