sample_id,cluster,env_biome,group_biome,env_feature,env_material,country,latitude_deg,longitude_deg,elevation_m,depth_m,collection_date,observed_otus,chao1,shannon
ERR1873185_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Colombia,-0.3919,-72.0461,0,0,2014/2015,512,513.875,5.9318
ERR1873186_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Colombia,-0.3466,-72.059,0,0,2014/2015,275,275.0,5.3369
ERR1873188_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Colombia,-0.3806,-72.236,0,0,2014/2015,238,238.0,5.1971
ERR1873190_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Colombia,-0.55,-71.36,0,0,2014/2015,342,342.143,5.4619
ERR1873193_F_filt.fastq.gz,17,Tropical_montane_forests,TROPICAL_FOREST,-,soil,Colombia,4.867,-75.167,0,0,2014/2015,545,547.0,5.9787
ERR1873194_F_filt.fastq.gz,17,Tropical_montane_forests,TROPICAL_FOREST,-,soil,Colombia,6.705,-75.4667,0,0,2014/2015,246,246.0,5.157
ERR1873195_F_filt.fastq.gz,16,Temperate_coniferous_forests,TEMPERATE_FOREST,-,soil,Estonia,58.12324,27.03222,0,0,2014/2015,461,461.0,5.9003
ERR1873196_F_filt.fastq.gz,8,Temperate_deciduous_forests,TEMPERATE_FOREST,-,soil,Estonia,58.27961,26.3716,0,0,2014/2015,579,580.0,6.0976
ERR1873197_F_filt.fastq.gz,13,Temperate_deciduous_forests,TEMPERATE_FOREST,-,soil,Estonia,58.04579,24.71194,0,0,2014/2015,543,543.143,6.0086
ERR1873198_F_filt.fastq.gz,6,Mediterrean,MEDITERRANEAN,-,soil,Australia,-34.36113,116.291,0,0,2014/2015,375,375.0,5.6458
ERR1873199_F_filt.fastq.gz,5,Mediterrean,MEDITERRANEAN,-,soil,Australia,-34.95216,116.75884,0,0,2014/2015,486,486.375,5.8831
ERR1873201_F_filt.fastq.gz,5,Mediterrean,MEDITERRANEAN,-,soil,Australia,-34.95822,117.43759,0,0,2014/2015,356,356.25,5.6065
ERR1873202_F_filt.fastq.gz,6,Mediterrean,MEDITERRANEAN,-,soil,Australia,-33.54495,117.08714,0,0,2014/2015,375,375.0,5.6997
ERR1873203_F_filt.fastq.gz,18,Mediterrean,MEDITERRANEAN,-,soil,Australia,-33.18,117.0478,0,0,2014/2015,469,469.545,5.887
ERR1873204_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Papua New Guinea,-9.4347,147.35164,0,0,2014/2015,553,556.5,5.996
ERR1873205_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Papua New Guinea,-9.4448,147.34867,0,0,2014/2015,850,854.0,6.3763
ERR1873206_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,-,soil,Papua New Guinea,-9.44475,147.34958,0,0,2014/2015,840,845.571,6.3703
