cluster,n_samples,mean_observed_otus,median_observed_otus,sd_observed_otus,mean_chao1,median_chao1,sd_chao1,mean_shannon,median_shannon,sd_shannon
1,12,439.58,436.0,209.7,440.32,436.0,210.58,5.7229,5.8086,0.4371
2,21,512.43,488.0,189.89,512.77,490.0,190.05,5.9104,5.9473,0.3547
3,2,959.5,959.5,241.12,959.66,959.66,241.34,6.4713,6.4713,0.2433
4,2,391.5,391.5,190.21,391.64,391.64,190.4,5.6116,5.6116,0.5551
5,4,434.75,440.0,71.06,434.94,440.19,71.1,5.7905,5.81,0.1487
6,6,407.5,360.5,139.92,409.44,361.0,143.46,5.6969,5.6294,0.2248
7,2,466.5,466.5,30.41,466.5,466.5,30.41,5.8709,5.8709,0.0248
8,19,486.0,486.0,151.3,486.97,486.14,151.84,5.8948,5.9189,0.3113
9,4,244.25,213.5,90.05,244.25,213.5,90.05,5.1809,5.0775,0.3472
10,5,695.0,762.0,202.42,696.3,762.0,203.43,6.2324,6.3647,0.3189
11,4,611.75,564.5,140.31,613.41,567.12,139.16,6.1318,6.0742,0.197
12,4,357.0,360.5,96.67,357.19,360.62,96.89,5.5921,5.6072,0.2617
13,12,506.0,485.0,231.35,506.34,485.55,231.43,5.8679,5.9247,0.4038
14,16,496.62,402.0,328.57,497.5,402.25,330.81,5.7865,5.7305,0.497
16,18,467.56,445.0,154.04,468.41,445.75,154.47,5.7975,5.8526,0.3325
17,39,436.95,375.0,200.0,438.3,375.0,200.94,5.6573,5.5714,0.4361
18,8,361.25,343.5,99.37,361.69,343.88,99.4,5.6006,5.5916,0.2822
19,7,531.57,405.0,281.49,531.92,405.75,281.58,5.9307,5.8062,0.4407
20,8,708.75,592.0,312.11,709.19,592.0,312.34,6.2319,6.1227,0.3902
