sample_id,cluster,env_biome,group_biome,env_feature,env_material,empo_1,empo_2,empo_3,envo_biome_0,envo_biome_1,envo_biome_2,country,latitude_deg,longitude_deg,depth_m,elevation_m,adiv_observed_otus,adiv_chao1,adiv_shannon,adiv_faith_pd,temperature_deg_c,ph,salinity_psu,phosphate_umol_per_l,ammonium_umol_per_l,nitrate_umol_per_l
1001.SKB1,3,cropland biome,AGRICULTURAL,agricultural soil,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,945,1100.68181818182,8.74357439120983,67.637917369997,15,6.94,7.15,NA,NA,NA
1001.SKB2,3,cropland biome,AGRICULTURAL,agricultural soil,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,1032,1230.20454545455,8.92729125496732,76.682842839832,15,6.94,7.15,NA,NA,NA
1001.SKB3,3,cropland biome,AGRICULTURAL,agricultural soil,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,1019,1333.33333333333,8.73898690713543,77.625208319108,15,6.94,7.15,NA,NA,NA
1001.SKB4,3,cropland biome,AGRICULTURAL,plant-associated habitat,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,851,1032.11386138614,8.16827591005885,65.73369416251,15,6.94,7.15,NA,NA,NA
1001.SKB5,3,cropland biome,AGRICULTURAL,plant-associated habitat,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,814,890.239495798319,8.31208557761131,62.639837373047,15,6.94,7.15,NA,NA,NA
1001.SKB6,3,cropland biome,AGRICULTURAL,plant-associated habitat,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,828,940.173913043478,8.36810308834113,61.416856819332,15,6.94,7.15,NA,NA,NA
1001.SKD2,3,cropland biome,AGRICULTURAL,agricultural soil,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,824,979.366666666667,8.48937990550817,60.7982696409,15,6.8,7.1,NA,NA,NA
1001.SKD3,3,cropland biome,AGRICULTURAL,agricultural soil,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,949,1210.27941176471,8.74418173927848,70.33730802024,15,6.8,7.1,NA,NA,NA
1001.SKD6,3,cropland biome,AGRICULTURAL,plant-associated habitat,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,1067,1466.28571428571,8.84489930738475,81.924789405646,15,6.8,7.1,NA,NA,NA
1001.SKM3,3,cropland biome,AGRICULTURAL,agricultural soil,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,1045,1281.68965517241,8.86959089569185,78.71310778313,15,6.82,7.44,NA,NA,NA
1001.SKM4,3,cropland biome,AGRICULTURAL,plant-associated habitat,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,733,809.843902439024,8.12160219485678,60.138750618913,15,6.82,7.44,NA,NA,NA
1001.SKM5,3,cropland biome,AGRICULTURAL,plant-associated habitat,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,33.194,-117.241,0.15,114,822,962.520618556701,8.46088307835467,64.295644858863,15,6.82,7.44,NA,NA,NA
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00,3,cropland biome,AGRICULTURAL,vineyard,rhizosphere,Host-associated,Plant,Plant rhizosphere,biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,41.06278,-75.45015,NA,7,1545,2295.00862068966,9.61953414567537,116.705901560486,NA,NA,NA,NA,NA,NA
1024.SH004.C1.RH.3.211.bulk.9.11.G1.L00,3,cropland biome,AGRICULTURAL,vineyard,bulk soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,41.01508,-72.52853,6,3,1265,1402.05980861244,9.47457951371042,95.4091444036909,NA,7.42,NA,NA,NA,NA
1289.KH1,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,984,1918.51948051948,8.09293788103002,84.518788908596,NA,NA,NA,NA,NA,NA
1289.KH10,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,953,1813.87919463087,8.07692890486551,84.589116898522,NA,NA,NA,NA,NA,NA
1289.KH11,3,cropland biome,AGRICULTURAL,field,soil,Free-living,Non-saline,Soil (non-saline),biome,terrestrial biome,anthropogenic terrestrial biome,GAZ:United States of America,31.078,-97.39,0.05,188,1021,1685.44385026738,8.472382595699,85.311178049214,NA,NA,NA,NA,NA,NA
