sample_id,cluster,env_biome,group_biome,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PCoA_Axis1,PCoA_Axis2,PCoA_Axis3,PCoA_Axis4,PCoA_Axis5,PCoA_Axis6,PCoA_Axis7,PCoA_Axis8,PCoA_Axis9,PCoA_Axis10,tSNE1,tSNE2
ERR1873185_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,11.2038,-4.8446,2.7906,-4.3618,-3.0802,-2.1282,3.0106,-5.2202,3.8606,0.1207,-11.2038,4.8446,-2.7906,4.3618,-3.0802,-2.1282,3.0106,5.2202,-3.8606,0.1207,-5.7999,8.6426
ERR1873186_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,7.5057,-3.3051,-0.2837,-7.2432,-2.8696,-0.0846,3.4473,-1.1588,1.1542,-1.7632,-7.5057,3.3051,0.2837,7.2432,-2.8696,-0.0846,3.4473,1.1588,-1.1542,-1.7632,-5.4964,7.5673
ERR1873188_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,11.2335,-5.5357,2.6101,-6.621,-1.8724,1.2701,2.6879,-3.3863,1.681,0.6811,-11.2335,5.5357,-2.6101,6.621,-1.8724,1.2701,2.6879,3.3863,-1.681,0.6811,-5.1272,8.4884
ERR1873190_F_filt.fastq.gz,17,Moist_tropical_forests,TROPICAL_FOREST,12.158,-4.8545,-0.0753,-3.8806,-2.6437,-2.886,3.5978,-2.4825,4.0141,0.6459,-12.158,4.8545,0.0753,3.8806,-2.6437,-2.886,3.5978,2.4825,-4.0141,0.6459,-6.1033,8.3001
ERR1873193_F_filt.fastq.gz,17,Tropical_montane_forests,TROPICAL_FOREST,18.5515,1.0754,1.8397,-2.0383,0.0009,0.2256,-1.1126,-1.5929,0.8046,4.087,-18.5515,-1.0754,-1.8397,2.0383,0.0009,0.2256,-1.1126,1.5929,-0.8046,4.087,-4.3296,6.016
ERR1873194_F_filt.fastq.gz,17,Tropical_montane_forests,TROPICAL_FOREST,12.6587,-1.8958,-2.4164,-5.2235,-4.1339,-0.5941,2.1969,0.0192,-0.45,-0.0414,-12.6587,1.8958,2.4164,5.2235,-4.1339,-0.5941,2.1969,-0.0192,0.45,-0.0414,-6.4318,6.8204
ERR1873195_F_filt.fastq.gz,16,Temperate_coniferous_forests,TEMPERATE_FOREST,16.6502,-0.5169,-8.3862,-2.5215,0.4419,-2.3925,2.9566,2.9895,-4.5979,1.8838,-16.6502,0.5169,8.3862,2.5215,0.4419,-2.3925,2.9566,-2.9895,4.5979,1.8838,-8.6123,5.8019
ERR1873196_F_filt.fastq.gz,8,Temperate_deciduous_forests,TEMPERATE_FOREST,-15.8459,9.361,3.0111,-6.1783,2.582,-1.8435,-2.6656,1.0843,-1.6685,0.009,15.8459,-9.361,-3.0111,6.1783,2.582,-1.8435,-2.6656,-1.0843,1.6685,0.009,6.5806,-5.4245
ERR1873197_F_filt.fastq.gz,13,Temperate_deciduous_forests,TEMPERATE_FOREST,10.423,6.4273,-2.0313,5.5801,-0.147,-0.3283,-1.5673,0.0104,1.2258,-0.9352,-10.423,-6.4273,2.0313,-5.5801,-0.147,-0.3283,-1.5673,-0.0104,-1.2258,-0.9352,-3.4462,3.2811
ERR1873198_F_filt.fastq.gz,6,Mediterrean,MEDITERRANEAN,1.2297,-2.5777,-0.1024,7.8962,-3.0591,1.3536,-5.9836,1.5912,-3.8073,-3.3524,-1.2297,2.5777,0.1024,-7.8962,-3.0591,1.3536,-5.9836,-1.5912,3.8073,-3.3524,-3.7803,0.0863
