sample_id,cluster,env_biome,group_biome,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PCoA_Axis1,PCoA_Axis2,PCoA_Axis3,PCoA_Axis4,PCoA_Axis5,PCoA_Axis6,PCoA_Axis7,PCoA_Axis8,PCoA_Axis9,PCoA_Axis10,tSNE1,tSNE2
1001.SKB1,3,cropland biome,AGRICULTURAL,16.7421,-12.0628,10.7953,-1.6168,10.4352,1.5031,4.972,-1.4195,-6.2672,3.5215,-16.7421,12.0628,10.7953,1.6168,10.4352,-1.5031,-4.972,1.4195,6.2672,3.5215,-7.2847,-17.7546
1001.SKB2,3,cropland biome,AGRICULTURAL,14.9612,-11.2562,11.1332,-1.4645,11.1991,1.4734,5.9581,-1.7872,-6.2262,3.7219,-14.9612,11.2562,11.1332,1.4645,11.1991,-1.4734,-5.9581,1.7872,6.2262,3.7219,-7.3143,-17.7465
1001.SKB3,3,cropland biome,AGRICULTURAL,13.8346,-10.4797,12.2461,-1.9354,11.2612,1.7629,5.6491,-1.8045,-4.7065,3.4436,-13.8346,10.4797,12.2461,1.9354,11.2612,-1.7629,-5.6491,1.8045,4.7065,3.4436,-7.337,-17.7408
1001.SKB4,3,cropland biome,AGRICULTURAL,17.6195,-12.3488,12.889,-0.4635,10.9066,1.457,4.0064,-1.1401,-7.3857,4.4371,-17.6195,12.3488,12.889,0.4635,10.9066,-1.457,-4.0064,1.1401,7.3857,4.4371,-7.2873,-17.7548
1001.SKB5,3,cropland biome,AGRICULTURAL,21.5002,-12.1513,10.5107,-1.1111,9.6692,0.3746,5.0193,-1.2199,-6.6903,3.557,-21.5002,12.1513,10.5107,1.1111,9.6692,-0.3746,-5.0193,1.2199,6.6903,3.557,-7.209,-17.7806
1001.SKB6,3,cropland biome,AGRICULTURAL,20.0629,-13.0997,11.6741,0.064,10.175,1.1109,4.2423,-1.3014,-8.7064,4.9464,-20.0629,13.0997,11.6741,-0.064,10.175,-1.1109,-4.2423,1.3014,8.7064,4.9464,-7.2397,-17.7704
1001.SKD2,3,cropland biome,AGRICULTURAL,18.3016,-13.6441,8.1372,0.1269,11.0997,1.4902,3.862,-1.4858,-4.0135,3.3055,-18.3016,13.6441,8.1372,-0.1269,11.0997,-1.4902,-3.862,1.4858,4.0135,3.3055,-7.2513,-17.7668
1001.SKD3,3,cropland biome,AGRICULTURAL,15.1364,-12.5339,9.4847,-0.3943,11.9744,1.1698,4.0339,-1.997,-4.4403,3.3291,-15.1364,12.5339,9.4847,0.3943,11.9744,-1.1698,-4.0339,1.997,4.4403,3.3291,-7.3178,-17.7452
1001.SKD6,3,cropland biome,AGRICULTURAL,7.081,-9.703,17.402,1.2074,14.4235,2.4647,2.7608,-3.4157,-5.9939,7.418,-7.081,9.703,17.402,-1.2074,14.4235,-2.4647,-2.7608,3.4157,5.9939,7.418,-7.5892,-17.6757
1001.SKM3,3,cropland biome,AGRICULTURAL,14.9902,-10.2708,11.0474,-3.4455,10.556,1.4726,5.2594,-2.3152,-6.2247,3.5784,-14.9902,10.2708,11.0474,3.4455,10.556,-1.4726,-5.2594,2.3152,6.2247,3.5784,-7.3116,-17.7469
1001.SKM4,3,cropland biome,AGRICULTURAL,23.0494,-11.0594,10.1668,-4.3687,10.4855,0.0471,5.6328,-0.3168,-6.4617,2.7264,-23.0494,11.0594,10.1668,4.3687,10.4855,-0.0471,-5.6328,0.3168,6.4617,2.7264,-7.1407,-17.8007
1001.SKM5,3,cropland biome,AGRICULTURAL,20.0642,-10.5019,12.1031,-3.2841,10.5557,0.5344,5.4207,-1.1479,-7.1508,3.2849,-20.0642,10.5019,12.1031,3.2841,10.5557,-0.5344,-5.4207,1.1479,7.1508,3.2849,-7.2407,-17.768
1024.MU002.C3.HA.2.66.rhizo.6.11.G1.L00,3,cropland biome,AGRICULTURAL,-3.9516,-2.0574,7.3637,-8.2366,-2.1767,5.7495,2.7307,1.4892,-3.7914,-5.2146,3.9516,2.0574,7.3637,8.2366,-2.1767,-5.7495,-2.7307,-1.4892,3.7914,-5.2146,10.2096,0.0229
1024.SH004.C1.RH.3.211.bulk.9.11.G1.L00,3,cropland biome,AGRICULTURAL,9.424,-4.9844,6.407,-10.9763,0.3322,2.4246,8.6935,2.1826,-1.2152,-6.3431,-9.424,4.9844,6.407,10.9763,0.3322,-2.4246,-8.6935,-2.1826,1.2152,-6.3431,8.0388,0.5324
1289.KH1,3,cropland biome,AGRICULTURAL,-4.8401,-6.6002,11.9863,-1.0317,4.2862,-1.1057,19.2827,2.7062,12.3459,-11.1864,4.8401,6.6002,11.9863,1.0317,4.2862,1.1057,-19.2827,-2.7062,-12.3459,-11.1864,-33.6321,-9.7592
1289.KH10,3,cropland biome,AGRICULTURAL,-9.5462,-5.3007,14.2047,-0.3544,2.373,0.4906,21.086,2.3331,13.9979,-12.8351,9.5462,5.3007,14.2047,0.3544,2.373,-0.4906,-21.086,-2.3331,-13.9979,-12.8351,-32.4714,-9.8491
1289.KH11,3,cropland biome,AGRICULTURAL,-4.8834,-7.6492,16.7363,1.4585,7.622,-0.4369,19.5356,1.6646,12.5769,-10.6721,4.8834,7.6492,16.7363,-1.4585,7.622,0.4369,-19.5356,-1.6646,-12.5769,-10.6721,-33.616,-7.6781
1289.KH12,3,cropland biome,AGRICULTURAL,14.1902,-11.1125,3.6375,-4.0941,4.2331,-3.0409,16.3029,3.5628,7.5134,-10.4632,-14.1902,11.1125,3.6375,4.0941,4.2331,3.0409,-16.3029,-3.5628,-7.5134,-10.4632,-37.3779,-10.0713
1289.KH13,3,cropland biome,AGRICULTURAL,-9.375,-5.4511,18.5221,1.492,7.3765,-1.5706,20.1164,2.4877,13.9053,-10.8687,9.375,5.4511,18.5221,-1.492,7.3765,1.5706,-20.1164,-2.4877,-13.9053,-10.8687,-32.677,-7.4758
1289.KH14,3,cropland biome,AGRICULTURAL,3.8223,-8.592,9.9116,-1.153,4.8487,-2.166,17.2697,2.4661,9.6364,-11.2211,-3.8223,8.592,9.9116,1.153,4.8487,2.166,-17.2697,-2.4661,-9.6364,-11.2211,-35.7857,-10.1476
