PC,sdev,variance,proportion_variance_pct,cumulative_variance_pct
PC1,27.6444,764.2151,41.37,41.37
PC2,13.6568,186.5087,10.1,51.46
PC3,9.9365,98.7343,5.34,56.81
PC4,8.1301,66.0981,3.58,60.38
PC5,6.2008,38.4494,2.08,62.47
PC6,6.1357,37.6471,2.04,64.5
PC7,5.818,33.8495,1.83,66.34
PC8,5.236,27.4152,1.48,67.82
PC9,5.0806,25.8129,1.4,69.22
PC10,4.7249,22.3245,1.21,70.43
PC11,4.3631,19.037,1.03,71.46
PC12,4.3167,18.6338,1.01,72.46
PC13,4.1139,16.9238,0.92,73.38
PC14,3.8937,15.1607,0.82,74.2
PC15,3.4719,12.054,0.65,74.85
PC16,3.2739,10.7183,0.58,75.43
PC17,3.1334,9.8182,0.53,75.96
PC18,2.9491,8.6971,0.47,76.44
PC19,2.8279,7.9969,0.43,76.87
PC20,2.743,7.5239,0.41,77.28
