dataset,biome_label_scheme,actual_class,predicted_class,count
Global_Topsoil,original_biomes,-,-,2
Global_Topsoil,original_biomes,-,Boreal_forests,0
Global_Topsoil,original_biomes,-,Mediterrean,1
Global_Topsoil,original_biomes,-,Moist_tropical_forests,0
Global_Topsoil,original_biomes,-,Savannas,0
Global_Topsoil,original_biomes,-,Southern_temperate_forests,0
Global_Topsoil,original_biomes,-,Temperate_coniferous_forests,0
Global_Topsoil,original_biomes,-,Temperate_deciduous_forests,3
Global_Topsoil,original_biomes,Boreal_forests,-,1
Global_Topsoil,original_biomes,Boreal_forests,Boreal_forests,0
Global_Topsoil,original_biomes,Boreal_forests,Mediterrean,0
Global_Topsoil,original_biomes,Boreal_forests,Moist_tropical_forests,0
Global_Topsoil,original_biomes,Boreal_forests,Savannas,0
Global_Topsoil,original_biomes,Boreal_forests,Southern_temperate_forests,1
Global_Topsoil,original_biomes,Boreal_forests,Temperate_coniferous_forests,1
Global_Topsoil,original_biomes,Boreal_forests,Temperate_deciduous_forests,0
Global_Topsoil,original_biomes,Mediterrean,-,0
Global_Topsoil,original_biomes,Mediterrean,Boreal_forests,0
Global_Topsoil,original_biomes,Mediterrean,Mediterrean,1
Global_Topsoil,original_biomes,Mediterrean,Moist_tropical_forests,0
Global_Topsoil,original_biomes,Mediterrean,Savannas,0
Global_Topsoil,original_biomes,Mediterrean,Southern_temperate_forests,0
Global_Topsoil,original_biomes,Mediterrean,Temperate_coniferous_forests,0
Global_Topsoil,original_biomes,Mediterrean,Temperate_deciduous_forests,0
Global_Topsoil,original_biomes,Moist_tropical_forests,-,3
Global_Topsoil,original_biomes,Moist_tropical_forests,Boreal_forests,0
Global_Topsoil,original_biomes,Moist_tropical_forests,Mediterrean,0
Global_Topsoil,original_biomes,Moist_tropical_forests,Moist_tropical_forests,7
Global_Topsoil,original_biomes,Moist_tropical_forests,Savannas,0
Global_Topsoil,original_biomes,Moist_tropical_forests,Southern_temperate_forests,1
Global_Topsoil,original_biomes,Moist_tropical_forests,Temperate_coniferous_forests,0
Global_Topsoil,original_biomes,Moist_tropical_forests,Temperate_deciduous_forests,0
Global_Topsoil,original_biomes,Savannas,-,0
Global_Topsoil,original_biomes,Savannas,Boreal_forests,0
Global_Topsoil,original_biomes,Savannas,Mediterrean,0
Global_Topsoil,original_biomes,Savannas,Moist_tropical_forests,1
Global_Topsoil,original_biomes,Savannas,Savannas,3
Global_Topsoil,original_biomes,Savannas,Southern_temperate_forests,0
Global_Topsoil,original_biomes,Savannas,Temperate_coniferous_forests,0
Global_Topsoil,original_biomes,Savannas,Temperate_deciduous_forests,0
Global_Topsoil,original_biomes,Southern_temperate_forests,-,0
Global_Topsoil,original_biomes,Southern_temperate_forests,Boreal_forests,3
Global_Topsoil,original_biomes,Southern_temperate_forests,Mediterrean,0
Global_Topsoil,original_biomes,Southern_temperate_forests,Moist_tropical_forests,0
Global_Topsoil,original_biomes,Southern_temperate_forests,Savannas,0
Global_Topsoil,original_biomes,Southern_temperate_forests,Southern_temperate_forests,1
Global_Topsoil,original_biomes,Southern_temperate_forests,Temperate_coniferous_forests,2
Global_Topsoil,original_biomes,Southern_temperate_forests,Temperate_deciduous_forests,1
Global_Topsoil,original_biomes,Temperate_coniferous_forests,-,0
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Boreal_forests,0
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Mediterrean,1
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Moist_tropical_forests,0
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Savannas,0
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Southern_temperate_forests,0
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Temperate_coniferous_forests,0
Global_Topsoil,original_biomes,Temperate_coniferous_forests,Temperate_deciduous_forests,0
Global_Topsoil,original_biomes,Temperate_deciduous_forests,-,4
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Boreal_forests,1
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Mediterrean,0
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Moist_tropical_forests,0
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Savannas,0
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Southern_temperate_forests,2
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Temperate_coniferous_forests,1
Global_Topsoil,original_biomes,Temperate_deciduous_forests,Temperate_deciduous_forests,7
