dataset,biome_label_scheme,actual_class,predicted_class,count
Global_Topsoil,grouped_biomes,BOREAL_FOREST,BOREAL_FOREST,2
Global_Topsoil,grouped_biomes,BOREAL_FOREST,GRASSLAND_SHRUBLAND,0
Global_Topsoil,grouped_biomes,BOREAL_FOREST,MEDITERRANEAN,0
Global_Topsoil,grouped_biomes,BOREAL_FOREST,TEMPERATE_FOREST,0
Global_Topsoil,grouped_biomes,BOREAL_FOREST,TROPICAL_FOREST,0
Global_Topsoil,grouped_biomes,BOREAL_FOREST,UNKNOWN,0
Global_Topsoil,grouped_biomes,GRASSLAND_SHRUBLAND,BOREAL_FOREST,0
Global_Topsoil,grouped_biomes,GRASSLAND_SHRUBLAND,GRASSLAND_SHRUBLAND,0
Global_Topsoil,grouped_biomes,GRASSLAND_SHRUBLAND,MEDITERRANEAN,0
Global_Topsoil,grouped_biomes,GRASSLAND_SHRUBLAND,TEMPERATE_FOREST,0
Global_Topsoil,grouped_biomes,GRASSLAND_SHRUBLAND,TROPICAL_FOREST,0
Global_Topsoil,grouped_biomes,GRASSLAND_SHRUBLAND,UNKNOWN,0
Global_Topsoil,grouped_biomes,MEDITERRANEAN,BOREAL_FOREST,0
Global_Topsoil,grouped_biomes,MEDITERRANEAN,GRASSLAND_SHRUBLAND,0
Global_Topsoil,grouped_biomes,MEDITERRANEAN,MEDITERRANEAN,0
Global_Topsoil,grouped_biomes,MEDITERRANEAN,TEMPERATE_FOREST,0
Global_Topsoil,grouped_biomes,MEDITERRANEAN,TROPICAL_FOREST,0
Global_Topsoil,grouped_biomes,MEDITERRANEAN,UNKNOWN,0
Global_Topsoil,grouped_biomes,TEMPERATE_FOREST,BOREAL_FOREST,2
Global_Topsoil,grouped_biomes,TEMPERATE_FOREST,GRASSLAND_SHRUBLAND,1
Global_Topsoil,grouped_biomes,TEMPERATE_FOREST,MEDITERRANEAN,3
Global_Topsoil,grouped_biomes,TEMPERATE_FOREST,TEMPERATE_FOREST,19
Global_Topsoil,grouped_biomes,TEMPERATE_FOREST,TROPICAL_FOREST,1
Global_Topsoil,grouped_biomes,TEMPERATE_FOREST,UNKNOWN,8
Global_Topsoil,grouped_biomes,TROPICAL_FOREST,BOREAL_FOREST,0
Global_Topsoil,grouped_biomes,TROPICAL_FOREST,GRASSLAND_SHRUBLAND,1
Global_Topsoil,grouped_biomes,TROPICAL_FOREST,MEDITERRANEAN,0
Global_Topsoil,grouped_biomes,TROPICAL_FOREST,TEMPERATE_FOREST,2
Global_Topsoil,grouped_biomes,TROPICAL_FOREST,TROPICAL_FOREST,12
Global_Topsoil,grouped_biomes,TROPICAL_FOREST,UNKNOWN,1
Global_Topsoil,grouped_biomes,UNKNOWN,BOREAL_FOREST,0
Global_Topsoil,grouped_biomes,UNKNOWN,GRASSLAND_SHRUBLAND,2
Global_Topsoil,grouped_biomes,UNKNOWN,MEDITERRANEAN,0
Global_Topsoil,grouped_biomes,UNKNOWN,TEMPERATE_FOREST,0
Global_Topsoil,grouped_biomes,UNKNOWN,TROPICAL_FOREST,0
Global_Topsoil,grouped_biomes,UNKNOWN,UNKNOWN,1
