dataset,biome_label_scheme,actual_class,predicted_class,count
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,AGRICULTURAL,180
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,AQUATIC_MARINE,1
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,FOREST,0
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,OTHER,0
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,TROPICAL_FOREST,2
EMP_Soil_Subset,grouped_biomes,AGRICULTURAL,URBAN_DEVELOPED,7
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,AQUATIC_FRESHWATER,16
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,FOREST,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,OTHER,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,TROPICAL_FOREST,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_FRESHWATER,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,AQUATIC_MARINE,91
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,FOREST,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,OTHER,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,TROPICAL_FOREST,0
EMP_Soil_Subset,grouped_biomes,AQUATIC_MARINE,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,COLD_TUNDRA_POLAR,7
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,FOREST,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,OTHER,1
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,TROPICAL_FOREST,0
EMP_Soil_Subset,grouped_biomes,COLD_TUNDRA_POLAR,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,FOREST,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,FOREST,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,FOREST,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,FOREST,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,FOREST,FOREST,9
EMP_Soil_Subset,grouped_biomes,FOREST,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,FOREST,OTHER,0
EMP_Soil_Subset,grouped_biomes,FOREST,TROPICAL_FOREST,0
EMP_Soil_Subset,grouped_biomes,FOREST,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,FOREST,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,GRASSLAND_SHRUBLAND,68
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,OTHER,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,TROPICAL_FOREST,0
EMP_Soil_Subset,grouped_biomes,GRASSLAND_SHRUBLAND,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,OTHER,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,OTHER,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,OTHER,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,OTHER,COLD_TUNDRA_POLAR,1
EMP_Soil_Subset,grouped_biomes,OTHER,FOREST,0
EMP_Soil_Subset,grouped_biomes,OTHER,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,OTHER,OTHER,5
EMP_Soil_Subset,grouped_biomes,OTHER,TROPICAL_FOREST,0
EMP_Soil_Subset,grouped_biomes,OTHER,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,FOREST,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,OTHER,0
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,TROPICAL_FOREST,23
EMP_Soil_Subset,grouped_biomes,TROPICAL_FOREST,URBAN_DEVELOPED,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,AGRICULTURAL,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,AQUATIC_FRESHWATER,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,AQUATIC_MARINE,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,COLD_TUNDRA_POLAR,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,FOREST,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,GRASSLAND_SHRUBLAND,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,OTHER,0
EMP_Soil_Subset,grouped_biomes,URBAN_DEVELOPED,TROPICAL_FOREST,0
