dataset,biome_label_scheme,rank,genus,phylum,full_lineage,MeanDecreaseAccuracy,MeanDecreaseGini
Global_Topsoil,original_biomes,1,Ellin516,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;Ellin516,7.9731,2.0677
Global_Topsoil,original_biomes,2,Tundrisphaera,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Tundrisphaera,7.8009,2.0974
Global_Topsoil,original_biomes,3,Pedomicrobium,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Hyphomicrobiaceae;Pedomicrobium,7.7325,2.3557
Global_Topsoil,original_biomes,4,Acidibacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;Acidibacter,7.3477,1.677
Global_Topsoil,original_biomes,5,ADurb.Bin063-1,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1,7.2605,2.152
Global_Topsoil,original_biomes,6,Granulicella,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Granulicella,7.1812,1.8848
Global_Topsoil,original_biomes,7,Conexibacter,Actinomycetota,Bacteria;Actinomycetota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter,6.8082,1.4304
Global_Topsoil,original_biomes,8,Bacillus,Bacillota,Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus,6.1983,1.4104
Global_Topsoil,original_biomes,9,Tengunoibacter,Chloroflexota,Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Tengunoibacter,5.6615,1.0864
Global_Topsoil,original_biomes,10,Aquisphaera,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Isosphaerales;Isosphaeraceae;Aquisphaera,5.36,1.2741
Global_Topsoil,original_biomes,11,Rubrobacter,Actinomycetota,Bacteria;Actinomycetota;Rubrobacteria;Rubrobacterales;Rubrobacteriaceae;Rubrobacter,4.9007,0.6517
Global_Topsoil,original_biomes,12,Silvibacterium,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Silvibacterium,4.5302,0.9454
Global_Topsoil,original_biomes,13,Acidiferrimicrobium,Actinomycetota,Bacteria;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidiferrimicrobium,4.3504,1.2226
Global_Topsoil,original_biomes,14,Sphingomonas,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas,4.3128,1.1112
Global_Topsoil,original_biomes,15,RB41,Acidobacteriota,Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;RB41,4.2871,1.2567
Global_Topsoil,original_biomes,16,Acidothermus,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Acidothermaceae;Acidothermus,4.0088,1.0118
Global_Topsoil,original_biomes,17,Candidatus Xiphinematobacter,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Chthoniobacterales;Xiphinematobacteraceae;Candidatus Xiphinematobacter,3.9416,1.2417
Global_Topsoil,original_biomes,18,Adhaeribacter,Bacteroidota,Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae;Adhaeribacter,3.906,0.9203
Global_Topsoil,original_biomes,19,Gaiella,Actinomycetota,Bacteria;Actinomycetota;Thermoleophilia;Gaiellales;Gaiellaceae;Gaiella,3.838,1.1029
Global_Topsoil,original_biomes,20,Variibacter,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Variibacter,3.7775,0.6228
Global_Topsoil,original_biomes,21,Mycobacterium,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Mycobacteriales;Mycobacteriaceae;Mycobacterium,3.5964,0.6293
Global_Topsoil,original_biomes,22,Iamia,Actinomycetota,Bacteria;Actinomycetota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia,3.5841,0.9386
Global_Topsoil,original_biomes,23,Croceibacterium,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Croceibacterium,3.5795,1.0332
Global_Topsoil,original_biomes,24,Burkholderia-Caballeronia-Paraburkholderia,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia-Caballeronia-Paraburkholderia,3.5181,1.1264
Global_Topsoil,original_biomes,25,Terracidiphilus,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Terriglobales;Acidobacteriaceae (Subgroup 1);Terracidiphilus,3.4961,0.665
Global_Topsoil,original_biomes,26,Jatrophihabitans,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Frankiales;Frankiaceae;Jatrophihabitans,3.4862,0.7107
Global_Topsoil,original_biomes,27,Arsenicitalea,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Devosiaceae;Arsenicitalea,3.4817,0.9371
Global_Topsoil,original_biomes,28,Rhodanobacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Rhodanobacter,3.4744,0.7388
Global_Topsoil,original_biomes,29,Dictyobacter,Chloroflexota,Bacteria;Chloroflexota;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae;Dictyobacter,3.4159,0.5967
Global_Topsoil,original_biomes,30,Acidicaldus,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acidicaldus,3.2742,0.7357
Global_Topsoil,original_biomes,31,Roseiarcus,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Roseiarcus,3.2522,0.9703
Global_Topsoil,original_biomes,32,Kineosporia,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Kineosporiales;Kineosporiaceae;Kineosporia,3.2147,0.2407
Global_Topsoil,original_biomes,33,Steroidobacter,Pseudomonadota,Bacteria;Pseudomonadota;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter,3.1173,0.6061
Global_Topsoil,original_biomes,34,Luedemannella,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Micromonosporales;Micromonosporaceae;Luedemannella,3.0162,1.0304
Global_Topsoil,original_biomes,35,Methylovirgula,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Beijerinckiaceae;Methylovirgula,2.9916,0.2517
Global_Topsoil,original_biomes,36,Specibacter,Actinomycetota,Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Micrococcaceae;Specibacter,2.9772,0.5066
Global_Topsoil,original_biomes,37,Luteolibacter,Verrucomicrobiota,Bacteria;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Rubritaleaceae;Luteolibacter,2.9686,0.7701
Global_Topsoil,original_biomes,38,Skermanella,Pseudomonadota,Bacteria;Pseudomonadota;Alphaproteobacteria;Azospirillales;Azospirillaceae;Skermanella,2.8906,0.5243
Global_Topsoil,original_biomes,39,Candidatus Solibacter,Acidobacteriota,Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter,2.8224,1.268
Global_Topsoil,original_biomes,40,Gemmata,Planctomycetota,Bacteria;Planctomycetota;Planctomycetes;Gemmatales;Gemmataceae;Gemmata,2.8053,1.1114
Global_Topsoil,original_biomes,41,Chungangia,Bacillota,Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Chungangia,2.7941,0.9265
